Begin calls to openweathermap at 2018-9-25 20:39:32 (GMT).
Call city 1: East London, ZA. Successful.
Call city 172: cozumel, mx. City not found.
Call city 173: Fortuna, US. Successful.
Call city 174: Shingu, JP. Successful.
Call city 175: Ancud, CL. Successful.
Call city 176: Nouadhibou, MR. Successful.
Call city 177: Yar-Sale, RU. Successful.
Call city 178: Raub, MY. Successful.
Call city 179: Atar, MR. Successful.
Call city 180: Kendari, ID. Successful.
Call city 181: Kambove, CD. Successful.
Call city 182: Narsaq, GL. Successful.
Call city 183: Formosa, BR. Successful.
Call city 184: Bandarbeyla, SO. Successful.
Call city 185: Kavaratti, IN. Successful.
Call city 186: Bambous Virieux, MU. Successful.
Call city 187: Tura, RU. Successful.
Call city 188: Lebu, CL. Successful.
Call city 189: Bemidji, US. Successful.
Call city 190: Jacksonville, US. Successful.
Call city 191: Nshamba, TZ. Successful.
Call city 192: Luderitz, NA. Successful.
Call city 193: High Level, CA. Successful.
Call city 194: Akdepe, TM. Successful.
Call city 195: Pacific Grove, US. Successful.
Call city 196: Horodkivka, UA. Successful.
Call city 197: Fevik, NO. Successful.
Call city 198: tawnat, ma. City not found.
Call city 199: San Policarpo, PH. Successful.
Call city 200: Shelburne, CA. Successful.
Call city 201: Champerico, GT. Successful.
Call city 202: Clyde River, CA. Successful.
Call city 203: Gazli, UZ. Successful.
Call city 204: Gorontalo, ID. Successful.
Call city 205: General Roca, AR. Successful.
Call city 206: Danville, US. Successful.
Call city 207: Dingle, IE. Successful.
Call city 208: Jiuquan, CN. Successful.
Call city 209: Ortona, IT. Successful.
Call city 210: Mayo, CA. Successful.
Call city 211: Sabaudia, IT. Successful.
Call city 212: Antsohihy, MG. Successful.
Call city 213: Gao, ML. Successful.
Call city 214: temaraia, ki. City not found.
Call city 215: Kavieng, PG. Successful.
Call city 216: utiroa, ki. City not found.
Call city 217: Ponta do Sol, CV. Successful.
Call city 218: labutta, mm. City not found.
Call city 219: Krasnokamensk, RU. Successful.
Call city 220: Ambilobe, MG. Successful.
Call city 221: Yatou, CN. Successful.
Call city 222: asau, tv. City not found.
Call city 223: Touros, BR. Successful.
Call city 224: Villafranca de los Barros, ES. Successful.
Call city 225: avera, pf. City not found.
Call city 226: Provideniya, RU. Successful.
Call city 227: Brits, ZA. Successful.
Call city 228: Adrar, DZ. Successful.
Call city 229: Mar del Plata, AR. Successful.
Call city 230: Souillac, MU. Successful.
Call city 231: Faanui, PF. Successful.
Call city 232: San Martin, AR. Successful.
Call city 233: Cabra, PH. Successful.
Call city 234: meyungs, pw. City not found.
Call city 235: Longyearbyen, SJ. Successful.
Call city 236: Comodoro Rivadavia, AR. Successful.
Call city 237: hatillo, us. City not found.
Call city 238: Paita, PE. Successful.
Call city 239: Monte Alegre de Minas, BR. Successful.
Call city 240: mentok, id. City not found.
Call city 241: Roma, AU. Successful.
Call city 242: Alofi, NU. Successful.
Call city 243: Fairbanks, US. Successful.
Call city 244: Metkovic, HR. Successful.
Call city 245: Alice Springs, AU. Successful.
Call city 246: Severo-Kurilsk, RU. Successful.
Call city 247: Torbay, CA. Successful.
Call city 248: Durango, US. Successful.
Call city 249: burica, pa. City not found.
Call city 250: Felanitx, ES. Successful.
Call city 251: Nhulunbuy, AU. Successful.
Call city 252: Antalaha, MG. Successful.
Call city 253: Henties Bay, NA. Successful.
Call city 254: okandja, ga. City not found.
Call city 255: Marrakesh, MA. Successful.
Call city 256: one hundred mile house, ca. City not found.
Call city 257: Lorengau, PG. Successful.
Call city 258: Cabo San Lucas, MX. Successful.
Call city 259: Komsomolskiy, RU. Successful.
Call city 260: Dano, BF. Successful.
Call city 261: Tabou, CI. Successful.
Call city 262: Genhe, CN. Successful.
Call city 263: Stephenville, CA. Successful.
Call city 264: Benguela, AO. Successful.
Call city 265: Husavik, IS. Successful.
Call city 266: bengkulu, id. City not found.
Call city 267: Maragogi, BR. Successful.
Call city 268: Winder, US. Successful.
Call city 269: Lavrentiya, RU. Successful.
