Begin calls to openweathermap at 2018-9-26 12:10:22 (GMT).
Call city 1: amderma, ru. City not found.
Call city 289: Praia da Vitoria, PT. Successful.
Call city 290: Malindi, KE. Successful.
Call city 291: Vao, NC. Successful.
Call city 292: Hami, CN. Successful.
Call city 293: Merrill, US. Successful.
Call city 294: marzuq, ly. City not found.
Call city 295: Namibe, AO. Successful.
Call city 296: Sao Filipe, CV. Successful.
Call city 297: Bangassou, CF. Successful.
Call city 298: Luau, AO. Successful.
Call city 299: Qaqortoq, GL. Successful.
Call city 300: Fort Nelson, CA. Successful.
Call city 301: Sarangani, PH. Successful.
Call city 302: Phalaborwa, ZA. Successful.
Call city 303: samana, do. City not found.
Call city 304: Comodoro Rivadavia, AR. Successful.
Call city 305: Medicine Hat, CA. Successful.
Call city 306: Grindavik, IS. Successful.
Call city 307: Waipawa, NZ. Successful.
Call city 308: Alice Springs, AU. Successful.
Call city 309: Korem, ET. Successful.
Call city 310: Barra Patuca, HN. Successful.
Call city 311: Half Moon Bay, US. Successful.
Call city 312: Zhuhai, CN. Successful.
Call city 313: Vrangel, RU. Successful.
Call city 314: Hirara, JP. Successful.
Call city 315: Bull Savanna, JM. Successful.
Call city 316: paradwip, in. City not found.
Call city 317: zlatoustovsk, ru. City not found.
Call city 318: Havre-Saint-Pierre, CA. Successful.
Call city 319: High Level, CA. Successful.
Call city 320: Kourou, GF. Successful.
Call city 321: Port Lavaca, US. Successful.
Call city 322: Benghazi, LY. Successful.
Call city 323: Okhotsk, RU. Successful.
Call city 324: Bardiyah, LY. Successful.
Call city 325: felidhoo, mv. City not found.
Call city 326: Filadelfia, PY. Successful.
Call city 327: Shieli, KZ. Successful.
Call city 328: bolungarvik, is. City not found.
Call city 329: Manono, CD. Successful.
Call city 330: Lompoc, US. Successful.
Call city 331: Belmonte, BR. Successful.
Call city 332: Kjollefjord, NO. Successful.
Call city 333: Cabo San Lucas, MX. Successful.
Call city 334: Voi, KE. Successful.
Call city 335: Tiksi, RU. Successful.
Call city 336: Phetchaburi, TH. Successful.
Call city 337: Pangnirtung, CA. Successful.
Call city 338: Vostok, RU. Successful.
Call city 339: Mana, GF. Successful.
Call city 340: Sedro-Woolley, US. Successful.
Call city 341: Luanda, AO. Successful.
Call city 342: Koforidua, GH. Successful.
Call city 343: Kirkenaer, NO. Successful.
Call city 344: macara, ec. City not found.
Call city 345: Lorengau, PG. Successful.
Call city 346: Akureyri, IS. Successful.
Call city 347: Jining, CN. Successful.
Call city 348: lasa, cn. City not found.
Call city 349: Mehamn, NO. Successful.
Call city 350: Abbeville, US. Successful.
Call city 351: Vanimo, PG. Successful.
Call city 352: Derzhavinsk, KZ. Successful.
Call city 353: Micheweni, TZ. Successful.
Call city 354: Cidreira, BR. Successful.
Call city 355: Thompson, CA. Successful.
Call city 356: Ostrovnoy, RU. Successful.
Call city 357: Chapleau, CA. Successful.
Call city 358: Barahona, DO. Successful.
Call city 359: Karratha, AU. Successful.
Call city 360: Aanekoski, FI. Successful.
Call city 361: goderich, sl. City not found.
Call city 362: skalistyy, ru. City not found.
Call city 363: Vicuna, CL. Successful.
Call city 364: Maloy, NO. Successful.
Call city 365: Neiafu, TO. Successful.
Call city 366: Muros, ES. Successful.
Call city 367: Broken Hill, AU. Successful.
Call city 368: Marsh Harbour, BS. Successful.
Call city 369: Ati, TD. Successful.
Call city 370: Kardla, EE. Successful.
Call city 371: Mao, TD. Successful.
Call city 372: Cruz Alta, BR. Successful.
Call city 373: Hay River, CA. Successful.
Call city 374: Assiniboia, CA. Successful.
Call city 375: Boende, CD. Successful.
Call city 376: Komatipoort, ZA. Successful.
Call city 377: Atar, MR. Successful.
Call city 378: Bonavista, CA. Successful.
Call city 379: Guerrero Negro, MX. Successful.
Call city 380: Rio Branco, BR. Successful.
Call city 381: Hasaki, JP. Successful.
Call city 382: Karpathos, GR. Successful.
Call city 383: Dicabisagan, PH. Successful.
Call city 384: chagda, ru. City not found.
Call city 385: Kaspiyskiy, RU. Successful.
Call city 386: Sainte-Rose, RE. Successful.
Call city 387: Esil, KZ. Successful.
Call city 388: Chabahar, IR. Successful.
Call city 389: Umm Lajj, SA. Successful.
Call city 390: Conde, BR. Successful.
Call city 391: Fortuna, US. Successful.
Call city 392: Capitao Poco, BR. Successful.
Call city 393: Viedma, AR. Successful.
Call city 394: Ovre Ardal, NO. Successful.
Call city 395: Canandaigua, US. Successful.
Call city 396: Tomatlan, MX. Successful.
Call city 397: Henderson, US. Successful.
Call city 398: Jaciara, BR. Successful.
Call city 399: abu samrah, qa. City not found.
Call city 400: Nanortalik, GL. Successful.
Call city 401: ruatoria, nz. City not found.
Call city 402: marcona, pe. City not found.
Call city 403: Muli, MV. Successful.
Call city 404: ksenyevka, ru. City not found.
Call city 405: Lokosovo, RU. Successful.
Call city 406: Lieksa, FI. Successful.
Call city 407: Mackay, AU. Successful.
Call city 408: Chum Phae, TH. Successful.
Call city 409: Aleksandrovsk-Sakhalinskiy, RU. Successful.
Call city 410: Acari, PE. Successful.
Call city 411: Birao, CF. Successful.
Call city 412: San Antonio, CO. Successful.
Call city 413: Kano, NG. Successful.
Call city 414: cagayan de tawi-tawi, ph. City not found.
Call city 415: Bud, NO. Successful.
Call city 416: Wilmington, US. Successful.
Call city 417: Kobelyaky, UA. Successful.
Call city 418: Sao Joao de Pirabas, BR. Successful.
Call city 419: Bilwang, PH. Successful.
Call city 420: Sorland, NO. Successful.
Call city 421: Aklavik, CA. Successful.
Call city 422: Mangrol, IN. Successful.
Call city 423: avera, pf. City not found.
Call city 424: Ambilobe, MG. Successful.
Call city 425: Coquimbo, CL. Successful.
Call city 426: Gurun, MY. Successful.
Call city 427: sakakah, sa. City not found.
Call city 428: Petrolina de Goias, BR. Successful.
Call city 429: Muhos, FI. Successful.
Call city 430: Mandalgovi, MN. Successful.
Call city 431: Najran, SA. Successful.
Call city 432: Aviles, ES. Successful.
Call city 433: Flin Flon, CA. Successful.
Call city 434: Sistranda, NO. Successful.
Call city 435: Hualmay, PE. Successful.
Call city 436: Noumea, NC. Successful.
Call city 437: Chifeng, CN. Successful.
Call city 438: Turayf, SA. Successful.
Call city 439: Dwarka, IN. Successful.
Call city 440: Goundam, ML. Successful.
Call city 441: Bilibino, RU. Successful.
Call city 442: Biak, ID. Successful.
Call city 443: Sorong, ID. Successful.
Call city 444: Salinopolis, BR. Successful.
Call city 445: Naze, JP. Successful.
Call city 446: Panjakent, TJ. Successful.
Call city 447: Kaseda, JP. Successful.
Call city 448: khormuj, ir. City not found.
Call city 449: Camacha, PT. Successful.
Call city 450: Fort Saint James, CA. Successful.
Call city 451: Zarubino, RU. Successful.
Call city 452: Huarmey, PE. Successful.
Call city 453: Rahatgarh, IN. Successful.
Call city 454: opobo, ng. City not found.
Call city 455: Magaria, NE. Successful.
Call city 456: Raboso, MX. Successful.
Call city 457: Colares, PT. Successful.
Call city 458: Coxim, BR. Successful.
Call city 459: Derbent, RU. Successful.
Call city 460: Talnakh, RU. Successful.
Call city 461: sorvag, fo. City not found.
Call city 462: kadykchan, ru. City not found.
Call city 463: Magalia, US. Successful.
Call city 464: Brits, ZA. Successful.
Call city 465: Tay Ninh, VN. Successful.
Call city 466: Pastavy, BY. Successful.
Call city 467: Presidencia Roque Saenz Pena, AR. Successful.
Call city 468: Sevsk, RU. Successful.
Call city 469: Hofn, IS. Successful.
Call city 470: Panzhihua, CN. Successful.
Call city 471: Olga, RU. Successful.
Call city 472: Port Macquarie, AU. Successful.
Call city 473: Naryan-Mar, RU. Successful.
Call city 474: Puerto del Rosario, ES. Successful.
Call city 475: Svetlogorsk, RU. Successful.
Call city 476: Kyra, RU. Successful.
Call city 477: Trorod, DK. Successful.
Call city 478: Dawson Creek, CA. Successful.
Call city 479: Aykhal, RU. Successful.
Call city 480: Vata de Jos, RO. Successful.
Call city 481: Ron Phibun, TH. Successful.
Call city 482: Mogadishu, SO. Successful.
Call city 483: khonuu, ru. City not found.
Call city 484: La Ronge, CA. Successful.
Call city 485: Okato, NZ. Successful.
Call city 486: karkaralinsk, kz. City not found.
Call city 487: Anloga, GH. Successful.
Call city 488: Rio Grande, BR. Successful.
Call city 489: Porto Novo, CV. Successful.
Call city 490: Marti, CU. Successful.
Call city 491: Limenaria, GR. Successful.
Call city 492: Zhirnovsk, RU. Successful.
Call city 493: Eau Claire, US. Successful.
Call city 494: Oktyabrskiy, RU. Successful.
Call city 495: Sestri Levante, IT. Successful.
Call city 496: Teahupoo, PF. Successful.
Call city 497: Libertador General San Martin, AR. Successful.
Call city 498: Male, MV. Successful.
Call city 499: Paamiut, GL. Successful.
Call city 500: Shambu, ET. Successful.
Call city 501: Sri Aman, MY. Successful.
Call city 502: Deputatskiy, RU. Successful.
Call city 503: Moshkovo, RU. Successful.
Call city 504: Sao Joaquim, BR. Successful.
Call city 505: Husavik, IS. Successful.
Call city 506: Ahipara, NZ. Successful.
Call city 507: Alofi, NU. Successful.
Call city 508: Kihei, US. Successful.
Call city 509: Port Moresby, PG. Successful.
Call city 510: Touros, BR. Successful.
Call city 511: Tumbagaan, PH. Successful.
Call city 512: Beppu, JP. Successful.
Call city 513: Juegang, CN. Successful.
Call city 514: Tripoli, LY. Successful.
Call city 515: Buala, SB. Successful.
Call city 516: Kruisfontein, ZA. Successful.
Call city 517: Acajutla, SV. Successful.
Call city 518: Eyl, SO. Successful.
Call city 519: Antofagasta, CL. Successful.
Call city 520: Puerto Escondido, MX. Successful.
Call city 521: Irmo, US. Successful.
Call city 522: Ptuj, SI. Successful.
Call city 523: Maine-Soroa, NE. Successful.
Call city 524: krasnyy oktyabr, ua. City not found.
Call city 525: Baykit, RU. Successful.
Call city 526: Staroye Drozhzhanoye, RU. Successful.
Call city 527: tubruq, ly. City not found.
Call city 528: kushmurun, kz. City not found.
Call city 529: Cururupu, BR. Successful.
Call city 530: Sungaipenuh, ID. Successful.
Call city 531: Necochea, AR. Successful.
Call city 532: Colquechaca, BO. Successful.
Call city 533: Ewo, CG. Successful.
Call city 534: Megion, RU. Successful.
Call city 535: San Carlos de Bariloche, AR. Successful.
Call city 536: Msowero, TZ. Successful.
Call city 537: Bukama, CD. Successful.
Call city 538: Roebourne, AU. Successful.
Call city 539: Puro, PH. Successful.
Call city 540: Tahoua, NE. Successful.
Call city 541: holme, no. City not found.
Call city 542: Chake Chake, TZ. Successful.
Call city 543: galiwinku, au. City not found.
Call city 544: Cayenne, GF. Successful.
Call city 545: airai, pw. City not found.
Call city 546: Wajir, KE. Successful.
Call city 547: Coahuayana, MX. Successful.
Call city 548: Araouane, ML. Successful.
Call city 549: Andros Town, BS. Successful.
Call city 550: Kijang, ID. Successful.
Call city 551: Boundiali, CI. Successful.
Call city 552: Coos Bay, US. Successful.
Call city 553: Sao Joao da Barra, BR. Successful.
Call city 554: Ust-Nera, RU. Successful.
Call city 555: Bahia Blanca, AR. Successful.
Call city 556: Mishan, CN. Successful.
Call city 557: Nuevo Progreso, MX. Successful.
Call city 558: College, US. Successful.
Call city 559: Turkan, AZ. Successful.
Call city 560: tidore, id. City not found.
Call city 561: Zhigansk, RU. Successful.
Call city 562: San Juan, US. Successful.
Call city 563: Rupert, US. Successful.
Call city 564: Bathsheba, BB. Successful.
Call city 565: Uporovo, RU. Successful.
Call city 566: Noshiro, JP. Successful.
Call city 567: Chiredzi, ZW. Successful.
Call city 568: Broome, AU. Successful.
Call city 569: Kitimat, CA. Successful.
Call city 570: Kawhia, NZ. Successful.
Call city 571: Qostanay, KZ. Successful.
Call city 572: Padang, ID. Successful.
Call city 573: Makinsk, KZ. Successful.
Call city 574: Santa Rita, PH. Successful.
Call city 575: Zyryanka, RU. Successful.
Call city 576: Mayor Pablo Lagerenza, PY. Successful.
Call city 577: Kharitonovo, RU. Successful.
Call city 578: Kudahuvadhoo, MV. Successful.
Call city 579: Buckeye, US. Successful.
Call city 580: Madera, MX. Successful.
Call city 581: Presidente Medici, BR. Successful.
Call city 582: Riohacha, CO. Successful.
Call city 583: Tuy Hoa, VN. Successful.
Call city 584: Tapejara, BR. Successful.
Call city 585: Riyadh, SA. Successful.
Call city 586: Vung Tau, VN. Successful.
Call city 587: Pinyug, RU. Successful.
Call city 588: Cervo, ES. Successful.
Call city 589: Coeneo, MX. Successful.
Call city 590: Brae, GB. Successful.
Call city 591: karakendzha, tj. City not found.
Call city 592: Abdulino, RU. Successful.
Call city 593: burica, pa. City not found.
Call city 594: Huron, US. Successful.
Call city 595: karaul, ru. City not found.
Call city 596: Biloela, AU. Successful.
Call city 597: Luba, GQ. Successful.
Call city 598: Caxito, AO. Successful.
Call city 599: Santiago Tuxtla, MX. Successful.
Calls completed at 2018-9-26 12:12:56 (GMT). 526 cities found.
