,City,Country Code,Latitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (MPH),Date (Unix)
84,Kaitangata,NZ,-46.28,42.36,79,76,15.7,1537964769
85,Avarua,CK,-21.21,71.6,94,90,2.24,1537963200
86,Acari,PE,-15.44,48.75,62,12,1.39,1537964770
87,Port Antonio,JM,18.18,82.4,74,20,8.05,1537963200
88,Chuy,UY,-33.69,63.33,98,92,8.1,1537964771
89,Bulgan,MN,48.81,48.12,99,92,2.62,1537964771
90,Lavrentiya,RU,65.58,42.0,98,0,7.99,1537964772
91,Vestmanna,FO,62.16,50.0,76,92,23.04,1537962600
92,Moose Factory,CA,51.26,37.4,93,90,5.82,1537963200
93,Victoria,SC,-4.62,78.8,83,75,12.75,1537959600
94,Hualmay,PE,-11.1,56.22,90,24,2.06,1537964773
95,Hervey Bay,AU,-25.3,67.65,96,0,9.44,1537964774
96,Masumbwe,TZ,-3.65,92.04,25,0,7.99,1537964774
97,Pauini,BR,-7.71,76.56,90,24,1.95,1537964774
98,Paita,PE,-5.09,63.69,91,20,5.3,1537964775
99,Hobart,AU,-42.88,44.6,87,0,2.24,1537963200
100,Marrakesh,MA,31.63,91.4,26,40,3.36,1537963200
101,Hermanus,ZA,-34.42,64.86,55,0,11.56,1537964775
102,Caravelas,BR,-17.73,76.11,100,56,15.7,1537964775
103,Tuktoyaktuk,CA,69.44,24.99,100,56,8.88,1537964776
104,Grand Gaube,MU,-20.01,77.0,65,75,14.99,1537963200
105,Goure,NE,13.98,99.69,36,0,8.66,1537964777
106,Gallup,US,35.53,47.39,86,20,5.75,1537962780
107,Grants,US,35.15,54.14,78,90,8.05,1537962900
108,Le Port,RE,-20.94,77.0,61,90,19.46,1537963200
109,Saldanha,ZA,-33.01,64.4,68,64,18.34,1537963200
110,Tecolutla,MX,17.31,60.99,93,32,1.72,1537964778
111,Dikson,RU,73.51,40.29,93,92,13.02,1537964778
112,Turayf,SA,31.68,91.4,15,0,6.93,1537959600
113,Ribeira Grande,PT,38.52,77.0,73,20,14.99,1537963200
114,Mitsamiouli,KM,-11.38,84.2,62,75,20.8,1537963200
115,Hithadhoo,MV,-0.6,81.96,100,80,13.35,1537964780
116,Kalmunai,LK,7.42,78.36,96,44,4.63,1537964780
117,Menongue,AO,-14.66,83.58,50,44,3.29,1537964780
118,Shelburne,CA,44.08,68.0,77,75,10.29,1537963200
119,Aragarcas,BR,-15.9,80.6,65,0,2.24,1537959600
120,Zhigansk,RU,66.77,40.92,99,92,4.63,1537964781
121,Qaanaaq,GL,77.48,22.02,100,80,6.87,1537964781
122,Kumbo,CM,6.21,76.29,73,64,3.74,1537964781
123,Upernavik,GL,72.79,32.73,100,80,18.28,1537964560
124,Tank,PK,32.22,80.7,66,56,3.62,1537964782
125,Thompson,CA,55.74,24.8,100,75,2.73,1537963200
126,Quatre Cocos,MU,-20.21,77.0,65,75,14.99,1537963200
127,Provideniya,RU,64.42,46.77,98,92,7.87,1537964786
128,Dakar,SN,14.69,82.4,69,92,9.17,1537959600
129,Vavoua,CI,7.38,76.56,98,92,1.83,1537964786
130,Kysyl-Syr,RU,63.9,44.16,75,56,4.18,1537964787
131,Ornskoldsvik,SE,63.29,52.79,50,20,27.51,1537962600
132,Torbay,CA,47.66,48.2,66,40,12.75,1537963200
133,Odemira,PT,37.6,91.41,37,0,16.93,1537964574
134,Inhambane,MZ,-23.87,86.0,62,20,12.75,1537963200
135,Labuhan,ID,-2.54,81.33,64,36,1.72,1537964788
136,Puerto Ayora,EC,-0.74,71.6,78,75,4.7,1537963200
137,Carrboro,US,35.91,65.88,100,20,3.36,1537962840
138,Sikonge,TZ,-5.63,92.58,20,0,9.44,1537964789
139,Ponta do Sol,CV,17.2,78.99,98,0,13.91,1537964789
140,Port Blair,IN,11.67,82.86,100,20,8.88,1537964789
141,Coolum Beach,AU,-26.53,64.05,93,32,6.76,1537964790
142,Santa Cruz,CR,10.26,73.4,100,75,3.36,1537963200
143,Port Elizabeth,ZA,-33.92,68.0,60,20,19.46,1537963200
144,Sullana,PE,-4.89,63.96,90,36,0.94,1537964790
145,Bollnas,SE,61.35,56.4,78,100,13.24,1537964791
146,Alice Springs,AU,-23.7,64.4,12,0,3.36,1537963200
147,Rakitnoye,RU,50.83,44.6,81,90,8.95,1537961400
148,Maragogi,BR,-9.01,76.65,89,88,11.79,1537964792
149,Barstow,US,31.46,63.21,67,90,16.11,1537962900
150,Synya,RU,65.37,49.2,97,92,12.35,1537964792
151,Hasaki,JP,35.73,63.25,93,75,12.75,1537961400
152,Kodiak,US,39.95,44.96,100,1,3.36,1537962780
153,Matara,LK,5.95,83.13,82,44,9.78,1537964794
154,Olinda,BR,-22.82,78.08,78,75,2.73,1537959600
155,Traralgon,AU,-38.19,46.59,85,0,4.18,1537964794
156,Qinzhou,CN,21.96,81.96,73,0,7.31,1537964795
157,San Jose,GT,16.98,71.43,100,100,3.74,1537964795
158,Terenos,BR,-20.44,75.2,73,0,9.17,1537959600
159,Alofi,NU,-19.06,73.4,88,12,9.17,1537963200
160,Lebu,CL,-37.62,51.0,100,92,7.2,1537964796
161,Fortuna,US,40.6,44.31,100,1,1.95,1537962900
162,Vao,NC,-22.67,69.36,100,80,18.5,1537964797
163,Whitehorse,CA,60.72,30.2,86,20,3.36,1537963200
164,Svetlaya,RU,46.54,51.63,100,0,6.98,1537964797
165,Jaffna,LK,9.67,85.38,98,12,5.75,1537964798
166,Namibe,AO,-15.19,66.57,100,0,6.53,1537964798
167,Shimoda,JP,34.7,66.2,93,75,9.17,1537961700
168,Mount Gambier,AU,-37.83,52.35,66,64,6.2,1537964799
169,Eidfjord,NO,60.47,35.25,100,88,8.99,1537964799
170,Gamba,GA,-2.72,79.17,91,12,14.92,1537964799
171,Kota Kinabalu,MY,5.98,78.8,88,75,4.7,1537963200
172,Saskylakh,RU,71.97,33.45,86,76,12.12,1537964800
173,Yulara,AU,-25.24,64.4,17,0,4.7,1537963200
174,Kapit,MY,2.02,74.85,91,64,2.84,1537964801
175,Nara,ML,15.17,95.73,59,0,4.63,1537964801
176,Leningradskiy,RU,69.38,38.58,100,8,11.68,1537964801
177,Santa Rosalia,MX,28.71,75.2,78,5,3.36,1537962180
178,North Vernon,US,39.01,65.79,87,90,9.17,1537964100
179,Roald,NO,62.58,50.52,71,75,24.16,1537962600
180,Anadyr,RU,64.73,48.2,87,40,13.42,1537959600
181,Klyuchevskiy,RU,53.53,45.33,72,8,4.18,1537964803
182,Talnakh,RU,69.49,37.23,98,88,9.89,1537964803
183,Sola,VU,-13.88,77.46,100,92,9.22,1537964804
184,Tuatapere,NZ,-46.13,44.25,100,92,13.91,1537964804
185,Cordoba,AR,-27.78,53.52,53,44,2.51,1537964804
186,Bubaque,GW,11.28,80.6,74,0,9.17,1537963200
187,Saint George,BM,32.38,77.0,65,75,18.34,1537962900
188,Nouadhibou,MR,20.93,96.8,30,0,5.82,1537963200
189,Port Lincoln,AU,-34.72,55.41,100,0,11.45,1537964805
190,Yarada,IN,17.65,84.48,100,0,11.23,1537964805
191,Amga,RU,60.89,39.03,88,12,2.95,1537964806
192,Norman Wells,CA,65.28,28.4,92,90,9.17,1537963200
193,Suntar,RU,62.16,45.06,80,8,4.41,1537964806
194,Guerrero Negro,MX,27.97,61.26,100,0,6.98,1537964807
195,Los Llanos de Aridane,ES,28.66,78.8,69,20,4.7,1537963200
196,Dolgorukovo,RU,52.32,51.63,62,0,11.01,1537964807
197,Hobyo,SO,5.35,85.47,62,8,17.05,1537964807
198,Richards Bay,ZA,-28.77,74.58,69,0,12.68,1537964807
199,Grand Island,US,40.92,39.56,88,1,8.05,1537962900
200,Georgetown,SH,-7.93,76.29,100,44,16.93,1537964808
201,Issia,CI,6.49,74.94,100,92,3.96,1537964808
202,Panjab,AF,34.38,50.73,60,64,1.72,1537964808
203,Nhulunbuy,AU,-12.18,75.2,78,0,5.82,1537963200
204,Shelbyville,US,39.41,54.14,96,90,13.87,1537962900
205,Karratha,AU,-20.74,85.38,16,0,11.45,1537964809
206,Hambantota,LK,6.12,81.42,100,64,8.66,1537964810
207,Port Hardy,CA,50.7,51.8,93,90,3.36,1537963200
208,Winnemucca,US,40.97,29.58,55,0,2.39,1537964810
209,Bud,NO,62.91,49.44,70,75,31.09,1537962600
210,Salinopolis,BR,-0.61,82.59,91,0,13.13,1537964811
211,Brae,GB,60.4,53.6,62,20,24.16,1537962600
212,Broome,AU,-17.97,78.8,83,0,10.29,1537963200
213,Beruwala,LK,6.48,82.68,94,44,9.33,1537964812
214,Taltal,CL,-25.41,51.27,91,44,0.6,1537964812
215,Coquimbo,CL,-29.95,51.8,93,75,4.7,1537959600
216,Severo-Kurilsk,RU,50.68,48.39,100,76,10.67,1537964813
217,Bathsheba,BB,13.22,86.0,70,40,20.8,1537963200
218,Storebo,NO,60.09,55.4,82,75,14.99,1537962600
219,Chifeng,CN,42.27,55.77,54,76,4.41,1537964814
220,Mandurah,AU,-32.55,55.4,87,0,8.05,1537963200
221,Beberibe,BR,-4.18,84.2,62,75,25.28,1537963200
222,Clyde River,CA,70.47,24.8,79,75,16.11,1537963200
223,Tiksi,RU,71.64,33.18,96,88,10.11,1537964815
224,Winchester,US,43.28,48.92,70,1,1.83,1537962780
225,Mareeba,AU,-16.99,69.8,73,20,6.93,1537963200
226,Faanui,PF,-16.48,77.19,100,48,13.91,1537964817
227,Charagua,BO,-19.79,71.6,83,75,8.32,1537963200
228,Batagay,RU,67.65,30.21,87,44,6.42,1537964818
229,Riosucio,CO,5.42,61.9,76,48,6.93,1537963200
230,Pangoa,PE,-12.12,67.38,89,24,1.61,1537964819
231,Bahia de Caraquez,EC,-0.6,71.6,88,90,6.93,1537963200
232,Klaksvik,FO,62.23,50.0,76,92,23.04,1537962600
233,Lebyazhye,RU,59.96,48.2,87,90,17.9,1537961400
234,Kandrian,PG,-6.21,76.65,87,88,6.2,1537964819
235,Erdenet,MN,49.03,42.99,100,92,9.44,1537964820
236,Namatanai,PG,-3.66,82.23,100,88,14.7,1537964820
237,Bakchar,RU,57.02,63.42,73,80,4.97,1537964820
238,Isangel,VU,-19.55,71.43,100,92,18.5,1537964820
239,Lompoc,US,34.64,54.43,93,90,3.36,1537962960
240,La Ronge,CA,55.1,37.4,93,75,3.36,1537963200
241,Bosobolo,CD,4.19,86.28,91,0,4.63,1537964821
242,Port Moresby,PG,-9.47,77.0,73,0,18.34,1537959600
243,Nicholasville,US,37.88,70.52,90,75,8.05,1537964280
244,Maraba,BR,-5.35,86.0,70,40,6.93,1537963200
245,Phangnga,TH,8.45,82.4,74,40,6.93,1537963200
246,Gueret,FR,46.17,73.4,46,0,6.93,1537963200
247,Jamestown,SH,-15.94,67.38,100,76,14.81,1537964539
248,Cidreira,BR,-30.17,69.09,99,68,4.07,1537964823
249,Pangnirtung,CA,66.15,33.8,80,75,2.39,1537963200
250,Khatanga,RU,71.98,29.94,91,0,10.0,1537964824
251,Eyl,SO,7.98,85.83,61,0,17.72,1537964824
252,Sobolevo,RU,54.43,52.44,65,8,18.05,1537964824
253,Eureka,US,40.8,44.33,100,90,1.95,1537962900
254,Catio,GW,11.28,86.01,95,36,5.53,1537964825
255,Winneba,GH,5.35,86.0,70,75,12.75,1537963200
256,Awbari,LY,26.59,97.44,18,20,6.98,1537964826
257,Deputatskiy,RU,69.3,25.71,88,88,3.85,1537964826
258,Padang,ID,-0.92,78.72,100,68,5.86,1537964826
259,Seymchan,RU,62.93,24.09,85,8,2.51,1537964826
260,Hirara,JP,24.8,82.4,83,75,17.22,1537959600
261,Sira,IN,13.74,81.6,75,44,3.18,1537964827
262,Beringovskiy,RU,63.05,46.05,95,88,15.48,1537964827
263,Namtsy,RU,62.72,41.46,83,64,2.39,1537964827
264,Sinop,TR,42.03,59.0,77,75,4.7,1537962600
265,Vardo,NO,70.37,41.9,65,20,13.87,1537962600
266,Mortka,RU,59.33,65.67,55,0,9.66,1537964828
267,Ngunguru,NZ,-35.62,54.96,100,56,15.48,1537964828
268,Srednekolymsk,RU,67.46,33.09,94,92,3.06,1537964829
269,Solnechnyy,RU,50.72,43.53,74,0,5.19,1537964829
270,Diego de Almagro,CL,-26.39,55.23,87,64,2.73,1537964829
271,Pasighat,IN,28.06,69.09,99,88,1.61,1537964829
272,Charters Towers,AU,-20.07,66.93,70,0,9.1,1537964829
273,Sur,OM,22.57,87.27,82,0,1.28,1537964559
274,York,US,39.96,71.08,93,75,7.2,1537962960
275,Geraldton,AU,-28.77,60.8,67,0,17.22,1537963200
276,Marsh Harbour,BS,26.54,84.75,97,0,10.67,1537964830
277,Juneau,US,58.3,49.53,100,90,4.7,1537962960
278,Enshi,CN,30.29,57.03,100,92,2.17,1537964831
279,Ust-Kuyga,RU,70.0,27.15,83,64,4.18,1537964831
280,Puerto Baquerizo Moreno,EC,-0.9,68.0,100,90,11.41,1537963200
281,Hongjiang,CN,27.21,60.81,100,92,6.98,1537964832
282,Inirida,CO,3.87,78.18,90,76,2.84,1537964832
283,Crixas,BR,-14.55,84.75,60,8,4.41,1537964832
284,Umm Lajj,SA,25.02,91.41,71,68,11.34,1537964833
285,Pisco,PE,-13.71,71.6,30,90,2.24,1537963200
286,East London,ZA,-33.02,69.8,56,0,13.87,1537963200
287,Manta,EC,-0.95,71.6,88,90,6.93,1537963200
288,Berlevag,NO,70.86,42.19,65,0,11.41,1537962600
289,Todos Santos,MX,23.45,73.96,88,5,4.7,1537964040
290,San Luis,MX,32.49,77.0,62,1,2.95,1537963020
291,Westport,NZ,-41.75,37.5,100,44,0.38,1537964835
292,Ganderkesee,DE,53.03,59.68,55,0,19.46,1537962600
293,Scarborough,TT,11.18,82.4,78,20,16.04,1537963200
294,Te Anau,NZ,-45.41,35.88,92,92,2.39,1537964836
295,Mandalgovi,MN,45.76,55.59,75,92,12.8,1537964836
296,San Patricio,MX,19.22,74.4,94,8,3.4,1537964836
297,Luderitz,NA,-26.65,61.08,88,0,14.81,1537964836
298,Sao Gabriel da Cachoeira,BR,-0.13,76.11,93,48,2.95,1537964837
299,Luzhou,CN,28.89,66.21,100,92,3.62,1537964837
300,Norrtalje,SE,59.76,57.2,82,75,23.04,1537962600
301,Lusambo,CD,-4.97,94.92,40,0,1.83,1537964837
302,Ostrovnoy,RU,68.05,39.75,92,8,15.82,1537964838
303,Coahuayana,MX,18.62,63.06,97,100,2.39,1537964838
304,Pontal do Parana,BR,-25.67,67.53,93,75,10.29,1537963200
305,Xunchang,CN,28.45,62.88,97,76,1.72,1537964839
306,Kumylzhenskaya,RU,49.88,57.66,53,36,8.21,1537964839
307,Takoradi,GH,4.89,78.09,94,48,8.88,1537964839
308,San Nicolas,CU,22.78,75.24,94,20,2.24,1537962900
309,Talaya,RU,55.79,62.61,74,80,6.2,1537964840
310,Samarai,PG,-10.62,77.91,99,88,15.7,1537964840
311,Feni,BD,23.02,87.36,77,64,5.75,1537964840
312,Abnub,EG,27.27,89.6,43,0,13.87,1537959600
313,Acapulco,MX,16.86,77.0,83,75,6.93,1537962660
314,Barabai,ID,-2.59,82.05,73,68,1.39,1537964841
315,Katikati,NZ,-37.55,48.66,77,88,6.64,1537964841
316,Sigli,ID,5.38,78.27,100,24,5.41,1537964842
317,Nizhniy Lomov,RU,53.53,51.0,67,68,10.22,1537964842
318,Pilar,PH,14.67,80.6,88,75,2.24,1537963200
319,Merauke,ID,-8.49,80.7,74,8,20.96,1537964842
320,Paamiut,GL,61.99,37.14,100,44,0.49,1537964843
321,Puerto Ayacucho,VE,5.66,78.8,94,20,5.82,1537963200
322,Karatau,KZ,43.18,68.64,34,48,9.55,1537964843
323,Vestmannaeyjar,IS,63.44,44.6,81,40,13.87,1537959600
324,Simoes,BR,-7.6,80.61,56,0,16.82,1537964844
325,Alamos,MX,27.02,75.84,86,12,2.39,1537964844
326,Smithers,CA,54.78,48.2,100,90,2.24,1537963200
327,Corpus Christi,US,27.8,79.38,93,40,3.36,1537963200
328,Makakilo City,US,21.35,79.54,90,20,8.05,1537963020
329,Acajutla,SV,13.59,71.34,96,80,3.74,1537964845
330,Verkhoyansk,RU,67.55,30.03,92,68,6.08,1537964845
331,Champerico,GT,14.3,71.6,100,40,6.31,1537963200
332,Tiarei,PF,-17.53,69.8,68,20,3.36,1537963200
333,Salym,RU,60.06,66.75,49,0,11.68,1537964846
334,Englewood,US,39.65,43.11,11,40,5.82,1537962900
335,Taitung,TW,22.76,78.8,83,40,1.12,1537961400
336,Tura,RU,64.27,42.09,91,80,5.41,1537964847
337,San Felipe,MX,31.02,88.08,95,0,2.39,1537964847
338,Mahebourg,MU,-20.41,77.0,65,75,14.99,1537963200
339,Key West,US,47.93,36.25,100,20,6.93,1537962900
340,Tomigusuku,JP,26.18,82.87,74,75,12.75,1537961400
341,Ndele,CF,8.41,89.25,85,0,4.63,1537964849
342,Ashqelon,IL,31.67,85.08,51,0,11.41,1537962600
343,Selkirk,CA,50.15,35.6,93,75,9.17,1537963200
344,Belaya Gora,RU,68.54,29.04,94,68,6.76,1537964850
345,Yarmouth,CA,43.84,62.6,100,90,23.04,1537963200
346,Cherskiy,RU,68.75,28.86,94,88,2.95,1537964850
347,Ahipara,NZ,-35.17,53.88,92,92,12.91,1537964851
348,Hamilton,BM,32.3,77.0,65,75,18.34,1537962900
349,Victor Harbor,AU,-35.55,57.2,44,0,7.09,1537963200
350,Saint-Augustin,CA,45.63,64.45,93,90,14.81,1537963200
351,Adrar,DZ,27.87,93.2,32,0,11.41,1537963200
352,Kautokeino,NO,69.01,35.43,94,92,5.86,1537964852
353,Kungurtug,RU,50.6,34.8,72,80,7.43,1537964852
354,Foz,ES,43.57,66.75,93,0,11.79,1537964852
355,Kichera,RU,55.93,39.48,100,92,2.84,1537964853
356,Divnogorsk,RU,55.96,50.0,71,40,4.47,1537961400
357,Kudahuvadhoo,MV,2.67,81.15,100,44,14.7,1537964853
358,Shakhtinsk,KZ,49.71,68.0,30,0,13.42,1537961400
359,Etchojoa,MX,26.91,77.64,96,8,2.95,1537964854
360,Verkhnyachka,UA,48.83,52.98,52,0,12.01,1537964854
361,Sumbe,AO,-11.2,76.02,81,44,8.1,1537964854
362,Ambilobe,MG,-13.19,88.62,34,0,19.39,1537964854
363,Puqi,CN,29.72,65.94,99,80,5.3,1537964855
364,San-Pedro,CI,4.75,80.43,89,80,10.22,1537964758
365,Kui Buri,TH,12.07,84.2,79,20,5.82,1537959600
366,Sisimiut,GL,66.94,32.19,95,88,7.43,1537964855
367,Port-Gentil,GA,-0.72,80.6,83,90,16.11,1537963200
368,Tahoua,NE,14.89,98.6,35,0,2.24,1537963200
369,Kirkwood,ZA,-33.4,68.0,60,20,19.46,1537963200
370,Ulaangom,MN,49.98,42.9,47,0,4.63,1537964856
371,Ayagoz,KZ,47.96,60.81,45,0,11.9,1537964856
372,Tucumcari,US,35.17,51.08,76,1,8.05,1537962780
373,Fukue,JP,35.03,66.2,93,75,2.24,1537961880
374,Chilca,PE,-13.22,46.4,75,75,2.24,1537963200
375,Kamenka,RU,53.19,51.0,67,68,10.22,1537964857
376,Salalah,OM,17.01,84.2,66,20,16.11,1537959000
377,Naantali,FI,60.45,50.0,93,92,20.8,1537962600
378,Arona,ES,28.1,82.45,65,20,17.22,1537963200
379,Ixtapa,MX,20.71,77.0,100,75,3.36,1537962600
380,Maloy,NO,61.94,50.41,66,40,19.46,1537962600
381,Necochea,AR,-38.55,55.05,81,0,9.66,1537964859
382,Baykit,RU,61.68,43.53,88,92,8.88,1537964859
383,Owando,CG,-0.49,90.51,63,36,2.73,1537964859
384,Hai Duong,VN,20.94,82.4,100,75,4.7,1537963200
385,Mubende,UG,0.56,80.79,74,0,7.2,1537964860
386,Rognan,NO,67.1,42.8,87,75,10.29,1537962600
387,Grindavik,IS,63.84,43.48,75,75,13.87,1537961400
388,Tumaco,CO,1.8,74.4,100,76,4.97,1537964861
389,Rach Gia,VN,10.02,82.86,82,44,11.68,1537964861
390,Sulangan,PH,11.14,85.56,96,0,21.07,1537964861
391,Wynyard,CA,51.77,39.03,100,100,12.68,1537964861
392,Port Arthur,US,29.9,76.93,90,75,4.7,1537964100
393,Port Hedland,AU,-20.31,75.2,83,0,8.05,1537963200
394,La Seyne-sur-Mer,FR,43.1,72.86,49,0,19.46,1537963200
395,Yar-Sale,RU,66.83,55.95,80,24,17.49,1537964862
396,Ridgecrest,US,35.62,60.98,6,1,5.82,1537962960
397,Lazaro Cardenas,MX,28.39,74.13,51,92,6.53,1537964863
398,Fayaoue,NC,-20.65,71.25,100,100,18.72,1537964863
399,Vaitape,PF,-16.52,76.29,100,80,12.57,1537964863
400,Porto Nacional,BR,-10.7,77.0,83,75,11.41,1537959600
401,Pasni,PK,25.26,82.95,87,0,10.11,1537964864
402,Murray Bridge,AU,-35.12,58.29,71,56,12.68,1537964864
403,Copperas Cove,US,31.12,75.22,91,75,4.7,1537963080
404,Batagay-Alyta,RU,67.8,26.7,95,88,4.18,1537964865
405,Etchoropo,MX,26.77,77.64,96,8,2.95,1537964865
406,Tyazhinskiy,RU,56.11,53.43,100,100,4.07,1537964866
407,Broken Hill,AU,-31.97,58.47,40,64,8.1,1537964866
408,Svetlogorsk,RU,53.14,69.8,32,40,17.9,1537961400
409,Pokhara,NP,28.21,68.46,73,12,1.5,1537964866
410,Baisha,CN,19.23,75.75,90,44,1.95,1537964866
411,Balod,IN,20.73,85.2,74,64,3.62,1537964867
412,Itoman,JP,26.12,82.87,74,75,12.75,1537961400
413,Flinders,AU,-34.58,46.4,100,24,1.16,1537959600
414,Candelaria,MX,18.18,74.13,92,88,4.18,1537964868
415,Iguape,BR,-24.7,72.15,95,32,3.85,1537964868
416,Theunissen,ZA,-28.4,78.54,56,0,4.74,1537964868
417,Singojuruh,ID,-8.31,72.96,84,0,2.17,1537964869
418,Itarema,BR,-2.92,85.2,64,0,17.27,1537964869
419,Kieta,PG,-6.22,76.83,100,44,10.67,1537964869
420,Pevek,RU,69.7,37.86,100,0,9.89,1537964851
421,Asosa,ET,10.07,75.12,86,56,4.52,1537964870
422,Florence,US,34.2,68.7,93,1,2.95,1537962960
423,Alexandria,EG,31.2,84.99,48,40,17.22,1537959600
